| 002461 | 46 | 24  | 18.18 | 0    | 10000 | 10000 | 0.62 | 21.6  | 12  | 131  |
| 002205 | 53 | 43  | 22.35 | 1    | 10000 | 10000 | 0.69 | 22.2  | 8   | 27   |
| 600706 | 46 | 44  | 17.93 | -3   | 10000 | 10000 | 0.27 | 22.3  | 0   | 33   |
| 600718 | 43 | 55  | 17.4  | -19  | 17.33 | 10000 | 0.38 | 23.7  | -15 | 217  |
| 600237 | 26 | 49  | 7.85  | -7   | 10000 | 10000 | 0.65 | 24.4  | -2  | 46   |
| 002372 | 85 | 29  | 17.5  | 19   | 10000 | 10000 | 0.27 | 25.2  | -7  | 92   |
| 000695 | 50 | 46  | 15.48 | -14  | 10000 | 10000 | 1.05 | 28.8  | 17  | 37   |
| 000888 | 47 | 28  | 12.03 | 0    | 11.28 | 10000 | 0.72 | 29.0  | 9   | 65   |
| 002535 | 65 | 28  | 13.3  | 15   | 12.09 | 10000 | 1.44 | 30.3  | 31  | 43   |
| 000978 | 77 | 35  | 11.99 | 8    | 10.78 | 10000 | 1.02 | 35.1  | -19 | 45   |
| 002619 | 59 | 38  | 29.04 | 0    | 10000 | 10000 | 0.99 | 36.6  | 47  | 30   |
| 002457 | 32 | 47  | 11.26 | -8   | 11.49 | 10000 | 2.91 | 38.9  | 4   | 31   |
| 002509 | 53 | 34  | 16.32 | 10   | 10000 | 10000 | 1.64 | 48.1  | -22 | 46   |
| 002342 | 42 | 42  | 7.72  | 0    | 10000 | 10000 | 2.41 | 62.0  | -14 | 64   |
| 600758 | 89 | 38  | 13.67 | 14   | 10000 | 10000 | 2.39 | 70.9  | 18  | 16   |
| 600804 | 84 | 47  | 26.21 | 0    | 16.6  | 10000 | 1.17 | 85.6  | -8  | 354  |
| 600844 | 42 | 44  | 8.72  | 0    | 10000 | 10000 | 1.81 | 97.0  | 62  | 54   |
| 002378 | 75 | 30  | 15.12 | 11   | 10000 | 10000 | 0.98 | 102.0 | -3  | 139  |
| 002322 | 39 | 78  | 15.62 | -15  | 10000 | 10000 | 2.35 | 116.0 | 41  | 45   |
+--------+----+-----+-------+------+-------+-------+------+-------+-----+------+

