日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2016-03-02,'399905,中证 500,5753.148,5763.799,5462.742,5464.733,5473.635,279.513,5.1065,11067195200,1.17963208755e+11
2016-03-01,'399905,中证 500,5473.635,5504.751,5294.544,5361.792,5350.434,123.201,2.3026,8080357100,87222593763.0
2016-02-29,'399905,中证 500,5350.434,5618.509,5286.345,5618.509,5648.938,-298.504,-5.2842,8670315300,93375908218.0
2016-02-26,'399905,中证 500,5648.938,5701.051,5517.63,5668.329,5626.052,22.886,0.4068,7985789500,91756326917.0
2016-02-25,'399905,中证 500,5626.052,6097.544,5604.104,6097.42,6111.043,-484.991,-7.9363,11066865300,1.29597084427e+11
2016-02-24,'399905,中证 500,6111.043,6116.255,5975.14,6041.753,6070.5,40.543,0.6679,8981957900,1.11114133801e+11
2016-02-23,'399905,中证 500,6070.5,6118.645,5982.211,6102.512,6103.723,-33.223,-0.5443,8787487600,1.06556791415e+11
2016-02-22,'399905,中证 500,6103.723,6111.69,6029.459,6055.675,5979.516,124.207,2.0772,9432052000,1.10801609577e+11
2016-02-19,'399905,中证 500,5979.516,6009.724,5919.683,5939.697,5957.131,22.385,0.3758,7038049900,86849115989.0
2016-02-18,'399905,中证 500,5957.131,6034.852,5945.204,6009.749,5971.412,-14.281,-0.2392,9371479800,1.10109734502e+11
2016-02-17,'399905,中证 500,5971.412,5979.407,5854.22,5889.502,5902.534,68.878,1.1669,9058252000,1.07857008107e+11
2016-02-16,'399905,中证 500,5902.534,5918.593,5694.749,5694.749,5668.04,234.494,4.1371,8287714300,98534904807.0
2016-02-15,'399905,中证 500,5668.04,5700.522,5482.796,5485.723,5664.197,3.843,0.0678,5363125300,63351303196.0
2016-02-05,'399905,中证 500,5664.197,5747.979,5662.437,5734.481,5721.485,-57.288,-1.0013,5607554500,65321968979.0
2016-02-04,'399905,中证 500,5721.485,5744.024,5631.32,5631.32,5610.173,111.312,1.9841,7108398200,83226216373.0
2016-02-03,'399905,中证 500,5610.173,5634.92,5482.225,5520.642,5586.627,23.546,0.4215,6328072600,70624920617.0
2016-02-02,'399905,中证 500,5586.627,5594.361,5407.668,5407.707,5399.477,187.15,3.4661,6657196200,75674180029.0
2016-02-01,'399905,中证 500,5399.477,5493.982,5319.701,5458.605,5469.125,-69.648,-1.2735,6471611400,70863332935.0
2016-01-29,'399905,中证 500,5469.125,5515.486,5248.215,5262.46,5271.233,197.892,3.7542,7235909100,78303710591.0
2016-01-28,'399905,中证 500,5271.233,5511.321,5257.081,5441.738,5514.189,-242.956,-4.406,6733807600,73152739267.0
2016-01-27,'399905,中证 500,5514.189,5628.186,5240.646,5604.167,5589.307,-75.118,-1.344,8792411800,95354931801.0
2016-01-26,'399905,中证 500,5589.307,5982.499,5573.827,5966.705,6041.326,-452.019,-7.4821,8544391700,98104095983.0
2016-01-25,'399905,中证 500,6041.326,6093.269,5976.336,6034.084,5980.611,60.715,1.0152,6530851400,78677683156.0
2016-01-22,'399905,中证 500,5980.611,6013.971,5799.712,5954.364,5886.884,93.727,1.5921,6983070900,84429369084.0
2016-01-21,'399905,中证 500,5886.884,6191.317,5886.884,6031.17,6138.503,-251.619,-4.099,8188276500,1.00555303501e+11
2016-01-20,'399905,中证 500,6138.503,6244.961,6095.722,6161.232,6197.095,-58.592,-0.9455,9194751800,1.13394506635e+11
2016-01-19,'399905,中证 500,6197.095,6203.4,5956.225,5965.355,5978.908,218.187,3.6493,8798101500,1.06185500293e+11
2016-01-18,'399905,中证 500,5978.908,6051.182,5765.146,5768.758,5893.682,85.226,1.4461,7246978900,86980313690.0
2016-01-15,'399905,中证 500,5893.682,6135.271,5852.241,6078.615,6124.82,-231.138,-3.7738,8863053900,1.02277307351e+11
2016-01-14,'399905,中证 500,6124.82,6137.507,5726.883,5734.608,5924.044,200.776,3.3892,9225144600,1.04255125841e+11
2016-01-13,'399905,中证 500,5924.044,6226.541,5924.044,6168.987,6136.663,-212.619,-3.4647,8612340200,98456702875.0
2016-01-12,'399905,中证 500,6136.663,6205.591,5994.636,6126.67,6128.656,8.007,0.1306,9190522000,1.05727199662e+11
2016-01-11,'399905,中证 500,6128.656,6529.879,6128.223,6435.894,6570.432,-441.776,-6.7237,11560073600,1.33119641104e+11
2016-01-08,'399905,中证 500,6570.432,6689.141,6222.593,6618.081,6462.243,108.189,1.6742,11112960500,1.38934000171e+11
2016-01-07,'399905,中证 500,6462.243,6937.416,6454.973,6937.416,7065.607,-603.364,-8.5395,2842674200,34781544777.0
2016-01-06,'399905,中证 500,7065.607,7066.085,6878.654,6916.532,6889.741,175.866,2.5526,10093042700,1.36351475197e+11
2016-01-05,'399905,中证 500,6889.741,7020.541,6627.642,6663.726,6983.404,-93.663,-1.3412,11342822500,1.56717298586e+11
2016-01-04,'399905,中证 500,6983.404,7624.101,6983.285,7615.514,7617.689,-634.285,-8.3265,7801499900,1.15089029548e+11
2015-12-31,'399905,中证 500,7617.689,7763.296,7617.385,7745.638,7741.047,-123.358,-1.5936,7978152300,1.32286915826e+11
2015-12-30,'399905,中证 500,7741.047,7747.351,7664.281,7693.022,7674.388,66.659,0.8686,8553323200,1.39407264187e+11
2015-12-29,'399905,中证 500,7674.388,7675.308,7545.352,7591.714,7603.361,71.027,0.9342,7729253000,1.20873940017e+11
2015-12-28,'399905,中证 500,7603.361,7837.63,7603.361,7815.382,7792.124,-188.763,-2.4225,10981351500,1.70493740379e+11
2015-12-25,'399905,中证 500,7792.124,7805.053,7738.867,7759.837,7753.037,39.087,0.5042,8125352000,1.28807084414e+11
2015-12-24,'399905,中证 500,7753.037,7778.936,7635.784,7760.378,7773.283,-20.246,-0.2605,9150934100,1.41331213219e+11
