日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2016-03-02,'399008,中小300,1340.635,1343.043,1279.899,1279.899,1281.368,59.267,4.6253,5302418571,78949528553.9
2016-03-01,'399008,中小300,1281.368,1289.741,1233.273,1251.692,1250.523,30.845,2.4666,4409970890,64432392181.8
2016-02-29,'399008,中小300,1250.523,1315.331,1237.386,1315.331,1321.974,-71.451,-5.4049,4493329595,64596297179.6
2016-02-26,'399008,中小300,1321.974,1340.876,1294.282,1333.015,1322.757,-0.783,-0.0592,4244061305,66994656013.5
2016-02-25,'399008,中小300,1322.757,1430.383,1316.979,1430.383,1432.646,-109.889,-7.6704,5762870162,94478794266.3
2016-02-24,'399008,中小300,1432.646,1441.773,1402.53,1428.272,1434.363,-1.717,-0.1197,4617476825,79163867064.6
2016-02-23,'399008,中小300,1434.363,1447.151,1413.914,1443.163,1441.841,-7.478,-0.5186,4774893900,85528274215.5
2016-02-22,'399008,中小300,1441.841,1441.841,1422.286,1431.9,1412.174,29.667,2.1008,4976133376,87960102476.4
2016-02-19,'399008,中小300,1412.174,1420.756,1396.992,1400.914,1403.595,8.579,0.6112,4041604329,70939918370.6
2016-02-18,'399008,中小300,1403.595,1426.015,1401.057,1421.607,1409.556,-5.961,-0.4229,4621344367,78836326013.5
2016-02-17,'399008,中小300,1409.556,1411.991,1382.825,1391.136,1391.659,17.897,1.286,4695931930,79807896836.6
2016-02-16,'399008,中小300,1391.659,1395.762,1344.687,1344.687,1336.849,54.81,4.0999,4235482506,72333346381.7
2016-02-15,'399008,中小300,1336.849,1344.093,1292.975,1292.986,1335.92,0.929,0.0695,2752321344,47261829542.2
2016-02-05,'399008,中小300,1335.92,1357.943,1335.672,1354.051,1351.842,-15.922,-1.1778,2960216949,51129646266.4
2016-02-04,'399008,中小300,1351.842,1357.831,1331.026,1331.026,1326.595,25.247,1.9031,3674627812,61439836614.7
2016-02-03,'399008,中小300,1326.595,1332.042,1297.917,1306.106,1321.131,5.464,0.4136,3185378831,51711896710.3
2016-02-02,'399008,中小300,1321.131,1326.186,1280.703,1280.703,1279.361,41.77,3.2649,3552822077,55632540131.2
2016-02-01,'399008,中小300,1279.361,1301.653,1261.335,1290.321,1295.639,-16.278,-1.2564,2926126688,48458347947.3
2016-01-29,'399008,中小300,1295.639,1306.493,1241.625,1245.904,1247.814,47.825,3.8327,3645430136,57851391590.0
2016-01-28,'399008,中小300,1247.814,1299.458,1242.4,1283.646,1301.285,-53.471,-4.1091,3438066050,53889041169.3
2016-01-27,'399008,中小300,1301.285,1326.79,1237.997,1325.651,1317.056,-15.771,-1.1974,4625799704,72073809919.1
2016-01-26,'399008,中小300,1317.056,1404.555,1313.606,1402.325,1419.611,-102.555,-7.2242,4474026371,74011895922.6
2016-01-25,'399008,中小300,1419.611,1435.082,1405.556,1420.396,1407.827,11.784,0.837,3331120628,60312463067.1
2016-01-22,'399008,中小300,1407.827,1416.952,1366.78,1408.865,1393.577,14.25,1.0225,3823495721,68308212785.0
2016-01-21,'399008,中小300,1393.577,1465.704,1393.577,1426.935,1450.872,-57.295,-3.949,4659686617,84056542039.0
2016-01-20,'399008,中小300,1450.872,1477.796,1442.068,1457.303,1466.878,-16.006,-1.0912,4869579322,87953182728.2
2016-01-19,'399008,中小300,1466.878,1469.083,1409.825,1412.514,1415.898,50.98,3.6005,4915957601,86995166425.6
2016-01-18,'399008,中小300,1415.898,1431.762,1361.835,1361.969,1390.367,25.531,1.8363,3947854317,69693737309.5
2016-01-15,'399008,中小300,1390.367,1440.016,1381.87,1426.285,1436.839,-46.472,-3.2343,4548518039,78170667800.3
2016-01-14,'399008,中小300,1436.839,1439.023,1339.435,1341.388,1385.244,51.595,3.7246,4773648368,79950274764.8
2016-01-13,'399008,中小300,1385.244,1452.141,1385.244,1440.619,1433.621,-48.377,-3.3745,4381575456,76233434326.5
2016-01-12,'399008,中小300,1433.621,1452.247,1400.189,1426.3,1425.272,8.349,0.5858,4521530418,78945929477.5
2016-01-11,'399008,中小300,1425.272,1513.568,1424.491,1491.553,1524.863,-99.591,-6.5311,5350099449,90529067469.4
2016-01-08,'399008,中小300,1524.863,1559.358,1448.759,1541.915,1508.982,15.881,1.0524,5751917397,1.01715660057e+11
2016-01-07,'399008,中小300,1508.982,1616.411,1507.015,1616.411,1648.228,-139.246,-8.4482,1397546463,24515077208.2
2016-01-06,'399008,中小300,1648.228,1648.228,1603.307,1621.964,1612.463,35.765,2.218,5152168070,97910449824.6
2016-01-05,'399008,中小300,1612.463,1647.413,1555.075,1565.107,1645.277,-32.814,-1.9944,6452666088,1.20009177157e+11
2016-01-04,'399008,中小300,1645.277,1795.159,1645.11,1795.159,1797.896,-152.619,-8.4888,4477260425,88494927441.7
2015-12-31,'399008,中小300,1797.896,1837.187,1797.896,1833.033,1831.665,-33.769,-1.8436,4866441675,1.08259410958e+11
2015-12-30,'399008,中小300,1831.665,1832.678,1812.892,1818.267,1813.911,17.754,0.9788,4997077940,1.0944324224e+11
2015-12-29,'399008,中小300,1813.911,1813.911,1778.633,1789.631,1791.406,22.505,1.2563,4813108399,1.03157851753e+11
2015-12-28,'399008,中小300,1791.406,1842.43,1791.406,1833.566,1826.664,-35.258,-1.9302,6167019677,1.29892388564e+11
2015-12-25,'399008,中小300,1826.664,1831.092,1813.912,1816.174,1812.604,14.06,0.7757,4422910351,96966446383.0
2015-12-24,'399008,中小300,1812.604,1818.308,1787.02,1812.701,1817.715,-5.111,-0.2812,4803351740,99340990782.2
2015-12-23,'399008,中小300,1817.715,1845.305,1812.716,1841.438,1841.568,-23.853,-1.2953,6571751306,1.39054507986e+11
2015-12-22,'399008,中小300,1841.568,1841.568,1815.731,1829.639,1825.737,15.831,0.8671,6006201603,1.2530414149e+11
2015-12-21,'399008,中小300,1825.737,1828.055,1809.432,1811.008,1814.452,11.285,0.622,6594815699,1.41300841743e+11
2015-12-18,'399008,中小300,1814.452,1827.443,1805.113,1822.403,1821.344,-6.892,-0.3784,7200727114,1.5549633512e+11
2015-12-17,'399008,中小300,1821.344,1821.344,1794.003,1794.003,1780.762,40.582,2.2789,7793666094,1.61968589669e+11
2015-12-16,'399008,中小300,1780.762,1792.232,1773.928,1777.188,1770.211,10.551,0.596,5830421765,1.21548452454e+11
2015-12-15,'399008,中小300,1770.211,1778.26,1754.786,1755.252,1749.85,20.361,1.1636,5542128393,1.16069352996e+11
2015-12-14,'399008,中小300,1749.85,1749.85,1694.993,1698.672,1713.756,36.094,2.1061,4606219908,92800701394.5
2015-12-11,'399008,中小300,1713.756,1730.581,1707.895,1720.613,1726.715,-12.959,-0.7505,4239830992,89935794481.1
2015-12-10,'399008,中小300,1726.715,1744.583,1722.618,1727.314,1727.577,-0.862,-0.0499,5043667288,1.08927400668e+11
2015-12-09,'399008,中小300,1727.577,1739.1,1713.284,1720.059,1729.121,-1.544,-0.0893,5163887728,1.07555724899e+11
2015-12-08,'399008,中小300,1729.121,1755.784,1725.088,1755.784,1763.761,-34.64,-1.964,5454561288,1.10722689197e+11
2015-12-07,'399008,中小300,1763.761,1765.477,1732.844,1745.89,1742.867,20.894,1.1988,5232076056,1.06510801363e+11
2015-12-04,'399008,中小300,1742.867,1764.315,1730.192,1750.083,1756.601,-13.734,-0.7819,5502587464,1.09881014885e+11
2015-12-03,'399008,中小300,1756.601,1756.601,1717.968,1717.968,1714.832,41.769,2.4357,5049715498,1.02692704693e+11
2015-12-02,'399008,中小300,1714.832,1724.941,1659.899,1718.746,1721.679,-6.847,-0.3977,5219421617,1.02721291366e+11
2015-12-01,'399008,中小300,1721.679,1740.424,1700.927,1723.033,1727.244,-5.565,-0.3222,5848230089,1.1667765438e+11
2015-11-30,'399008,中小300,1727.244,1736.969,1633.969,1716.529,1713.299,13.945,0.8139,7207955086,1.4219833671e+11
2015-11-27,'399008,中小300,1713.299,1826.692,1700.251,1820.349,1830.621,-117.322,-6.4089,8257357576,1.64137606529e+11
2015-11-26,'399008,中小300,1830.621,1862.383,1826.813,1860.142,1851.508,-20.887,-1.1281,8032446796,1.69400224984e+11
2015-11-25,'399008,中小300,1851.508,1853.564,1815.097,1817.856,1815.61,35.898,1.9772,7450652640,1.57792724064e+11
