+--------+----+----+-------+------+-------+-------+-----+
| code   | L% | P% | price | Avg% | MB    | MS    | TOR |
| 000537 | 65 | 41 | 9.5   | -3   | 10000 | 10000 | 9   |
| 600382 | 64 | 33 | 14.75 | -6   | 12.28 | 10000 | 11  |
| 000973 | 64 | 36 | 9.33  | 13   | 10000 | 10000 | 9   |
| 600490 | 64 | 45 | 10.87 | -22  | 10000 | 10000 | 9   |
| 000880 | 63 | 30 | 15.76 | 5    | 10000 | 10000 | 14  |
| 000731 | 63 | 47 | 10.49 | -4   | 12.19 | 10000 | 12  |
| 600802 | 62 | 39 | 8.83  | -10  | 10000 | 10000 | 9   |
| 600982 | 62 | 48 | 7.21  | -14  | 10000 | 10000 | 11  |
| 002341 | 61 | 42 | 18.22 | -11  | 10000 | 10000 | 15  |
| 600392 | 61 | 26 | 27.07 | -3   | 10000 | 10000 | 19  |
| 002634 | 61 | 52 | 24.21 | 6    | 23.11 | 10000 | 10  |
| 002167 | 60 | 7  | 11.62 | 2    | 10000 | 10000 | 22  |
| 002460 | 60 | 33 | 23.25 | 7    | 10000 | 10000 | 21  |
| 000010 | 60 | 41 | 9.84  | 13   | 10000 | 10000 | 11  |
| 000735 | 59 | 25 | 8.48  | 0    | 10000 | 10000 | 11  |
| 002182 | 59 | 39 | 13.88 | -4   | 10000 | 10000 | 14  |
| 000831 | 58 | 46 | 21.58 | -28  | 10000 | 10000 | 15  |
| 002564 | 58 | 44 | 11.06 | 0    | 10.66 | 10000 | 13  |
| 002637 | 58 | 41 | 20.8  | 1    | 19.06 | 10000 | 10  |
| 600108 | 58 | 37 | 8.35  | -14  | 10.23 | 10000 | 9   |
| 000159 | 57 | 40 | 9.5   | -17  | 8.48  | 10000 | 9   |
| 000409 | 57 | 56 | 11.46 | -17  | 10000 | 10000 | 18  |
| 002722 | 56 | 41 | 25.17 | -3   | 30.74 | 10000 | 11  |
| 002309 | 56 | 13 | 27.59 | 13   | 27.43 | 10000 | 11  |
| 002240 | 55 | 67 | 12.39 | -37  | 10000 | 10000 | 17  |
| 600149 | 55 | 38 | 16.96 | -4   | 10000 | 10000 | 12  |
| 601058 | 55 | 39 | 9.64  | 0    | 8.71  | 10000 | 9   |
| 002492 | 55 | 44 | 13.68 | 4    | 9.29  | 10000 | 12  |
| 600846 | 53 | 42 | 10.27 | -6   | 10000 | 10000 | 10  |
| 002200 | 53 | 20 | 21.43 | 3    | 10000 | 10000 | 17  |
| 600273 | 52 | 31 | 12.59 | 1    | 10000 | 10000 | 11  |
| 600707 | 52 | 50 | 11.84 | -6   | 10000 | 10000 | 11  |
| 002063 | 52 | 64 | 25.17 | 8    | 20.0  | 10000 | 9   |
| 002328 | 51 | 42 | 11.78 | 3    | 10000 | 10000 | 10  |
| 600187 | 51 | 27 | 7.3   | -4   | 10000 | 10000 | 12  |
| 002521 | 50 | 35 | 13.02 | -3   | 10000 | 10000 | 11  |
| 002457 | 50 | 35 | 12.77 | 3    | 9.44  | 10000 | 14  |
| 002660 | 50 | 45 | 12.63 | 17   | 10000 | 10000 | 10  |
| 600375 | 49 | 48 | 9.75  | -26  | 10000 | 10000 | 11  |
| 000751 | 49 | 32 | 7.77  | 4    | 6.36  | 10000 | 11  |
| 002695 | 49 | 28 | 38.3  | 8    | 10000 | 10000 | 21  |
| 600830 | 49 | 40 | 11.82 | -8   | 10000 | 10000 | 10  |
| 600756 | 48 | 10 | 29.37 | 20   | 10000 | 10000 | 11  |
| 000404 | 48 | 40 | 8.18  | -4   | 6.98  | 10000 | 10  |
| 002071 | 46 | 35 | 18.43 | -14  | 15.63 | 10000 | 10  |
| 600080 | 46 | 42 | 11.78 | -6   | 10000 | 10000 | 9   |
| 002554 | 46 | 21 | 14.63 | 8    | 9.65  | 10000 | 10  |
| 600290 | 46 | 26 | 13.39 | 11   | 13.04 | 10000 | 9   |
| 603399 | 45 | 45 | 12.89 | -2   | 10000 | 10000 | 23  |
| 002582 | 45 | 35 | 25.11 | 0    | 10000 | 10000 | 14  |
| 002428 | 45 | 32 | 18.25 | 4    | 18.49 | 10000 | 13  |
| 000790 | 44 | 42 | 13.19 | 7    | 10000 | 10000 | 9   |
| 002148 | 43 | 45 | 19.71 | -18  | 10000 | 10000 | 11  |
| 002114 | 40 | 42 | 14.86 | -12  | 10000 | 10000 | 21  |
| 002633 | 40 | 20 | 23.7  | -3   | 10000 | 10000 | 12  |
| 603328 | 38 | 35 | 28.14 | 0    | 10000 | 10000 | 11  |
| 600880 | 38 | 43 | 13.05 | -5   | 10000 | 10000 | 11  |
| 600390 | 37 | 36 | 13.79 | -6   | 10000 | 10000 | 9   |
| 002070 | 37 | 36 | 11.52 | 5    | 10000 | 10000 | 9   |
| 600516 | 35 | 23 | 11.77 | 1    | 10000 | 10000 | 9   |
| 600596 | 35 | 44 | 11.34 | -5   | 10000 | 10000 | 9   |
| 000536 | 26 | 45 | 14.61 | -23  | 20.94 | 10000 | 12  |
| 600209 | 24 | 17 | 10.11 | -2   | 10000 | 10000 | 10  |
| 600747 | 16 | 15 | 6.9   | 6    | 10000 | 10000 | 10  |
+--------+----+----+-------+------+-------+-------+-----+
